filename,line_num,date,v0,v1,log_msg
feature_pyramid.cc,55,1900-10-08 23:37:28.903956,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:37:32.150694,6565,1135,Found 6565 invalid patches (1135 valid)
feature_pyramid.cc,55,1900-10-08 23:37:34.673704,96,7604,Found 96 invalid patches (7604 valid)
feature_pyramid.cc,55,1900-10-08 23:37:39.154355,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:37:41.645831,2789,4911,Found 2789 invalid patches (4911 valid)
feature_pyramid.cc,55,1900-10-08 23:37:43.642956,14,7686,Found 14 invalid patches (7686 valid)
feature_pyramid.cc,55,1900-10-08 23:37:46.128273,1308,6392,Found 1308 invalid patches (6392 valid)
feature_pyramid.cc,55,1900-10-08 23:37:49.330255,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:37:53.654752,972,6728,Found 972 invalid patches (6728 valid)
feature_pyramid.cc,55,1900-10-08 23:37:57.213353,23,7677,Found 23 invalid patches (7677 valid)
feature_pyramid.cc,55,1900-10-08 23:37:59.797364,2275,5425,Found 2275 invalid patches (5425 valid)
feature_pyramid.cc,55,1900-10-08 23:38:24.112555,6922,778,Found 6922 invalid patches (778 valid)
feature_pyramid.cc,55,1900-10-08 23:38:26.127348,101,7599,Found 101 invalid patches (7599 valid)
feature_pyramid.cc,55,1900-10-08 23:38:29.917963,901,6799,Found 901 invalid patches (6799 valid)
feature_pyramid.cc,55,1900-10-08 23:38:32.194540,3602,4098,Found 3602 invalid patches (4098 valid)
feature_pyramid.cc,55,1900-10-08 23:38:34.042767,1461,6239,Found 1461 invalid patches (6239 valid)
feature_pyramid.cc,55,1900-10-08 23:38:37.944890,7700,0,Found 7700 invalid patches (0 valid)
feature_pyramid.cc,55,1900-10-08 23:38:39.598844,3593,4107,Found 3593 invalid patches (4107 valid)
feature_pyramid.cc,55,1900-10-08 23:38:42.609208,755,6945,Found 755 invalid patches (6945 valid)
feature_pyramid.cc,55,1900-10-08 23:38:46.817961,2572,5128,Found 2572 invalid patches (5128 valid)
feature_pyramid.cc,55,1900-10-08 23:38:49.564651,25,7675,Found 25 invalid patches (7675 valid)
feature_pyramid.cc,55,1900-10-08 23:38:53.091660,3,7697,Found 3 invalid patches (7697 valid)
feature_pyramid.cc,55,1900-10-08 23:38:57.149655,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:38:59.570132,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:39:02.315196,306,7394,Found 306 invalid patches (7394 valid)
feature_pyramid.cc,55,1900-10-08 23:39:05.028215,288,7412,Found 288 invalid patches (7412 valid)
feature_pyramid.cc,55,1900-10-08 23:39:07.856590,2,7698,Found 2 invalid patches (7698 valid)
feature_pyramid.cc,55,1900-10-08 23:39:10.593418,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:39:13.708782,860,6840,Found 860 invalid patches (6840 valid)
feature_pyramid.cc,55,1900-10-08 23:39:16.219058,1896,5804,Found 1896 invalid patches (5804 valid)
feature_pyramid.cc,55,1900-10-08 23:39:19.439996,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:39:22.774307,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:39:25.419347,225,7475,Found 225 invalid patches (7475 valid)
feature_pyramid.cc,55,1900-10-08 23:39:28.257801,2453,5247,Found 2453 invalid patches (5247 valid)
feature_pyramid.cc,55,1900-10-08 23:39:30.425856,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:39:58.264901,536,7164,Found 536 invalid patches (7164 valid)
feature_pyramid.cc,55,1900-10-08 23:40:01.664587,6076,1624,Found 6076 invalid patches (1624 valid)
feature_pyramid.cc,55,1900-10-08 23:40:04.113906,7683,17,Found 7683 invalid patches (17 valid)
feature_pyramid.cc,55,1900-10-08 23:40:05.621203,945,6755,Found 945 invalid patches (6755 valid)
feature_pyramid.cc,55,1900-10-08 23:40:09.457161,484,7216,Found 484 invalid patches (7216 valid)
feature_pyramid.cc,55,1900-10-08 23:40:13.671330,7142,558,Found 7142 invalid patches (558 valid)
feature_pyramid.cc,55,1900-10-08 23:40:15.828266,252,7448,Found 252 invalid patches (7448 valid)
